,City,Company,Contact Name,Contact No.,Pincode,State,Street Address
0,Mysuru,RRR Bio Tec (M),D Kumar,02692-235390			, 570021,Karnataka,"#3452/1b, Tilak Nagar
Mysore."
1,Thane,Packone Solutions LLP,Varun Fotedar,"8073911917, 8073911917			", 400607,Maharashtra,"B3, Devashree Park, Opp. Sandoz Baug PO, Kolshet Rd"
2,Ahmedabad,Vortech Private Limited,Pratik Panchal,8268661832			, 382213,Gujarat,"Survey No. 427 P/3-4, &amp;amp;amp;amp;amp;amp;amp;amp;amp; 431 P/1-2,
Sarkhej-Bavla Highway, Moraiya,
Tal Sanand, Dist. Ahmedabad"
3,Chennai,Toshniwal Instruments Pvt Ltd.,Robin Joseph,"8980109849, 02717661661			", 600 010,Tamil Nadu,"Toshniwal Instruments (Madras) Pvt. Ltd, 267, Kilpauk   Garden Road Chennai
http://www.toshniwal.net/"
4,Kolkata,"JX Shot Blasting Machine Co., Ltd.",Jeasin Huang,+(91)-(44)-26441820			, 700046,West Bengal,"83 A and B, Topsia Rd, Topsia"
5,Pune,3Deometry Innovations,Shaneel Karia,+918444844368			, 411001,Maharashtra,"Office 208, Gran Exito, BT Kawade Road, Above Axis Bank, Ghorpodi"
6,Navi Mumbai,Shruti Flexipack Pvt Ltd,Sharayu Sawant,"9764751920, 9503817139			", 400708,Maharashtra,"Plot No. B-49 MIDC Road Behind Reliable Plaza
TTC Industrial Area Off. Thane - Belapur Road Airoli

"
7,Kolkata,Shiva Kitchen Equipments Pvt. Ltd.,Manishaa Jaiswal,"7506129084, +91 9619909581			", 700069,West Bengal,"1, Waterloo Street"
8,Ahmedabad,Flu-tech,Mr. Ramesh Panchal,"9836677775, 91-33-2231-9182			", 382445,Gujarat,"Plot No.3212, BH: Benzo Products, Ph-IV, GIDC Estate, Vatva,"
9,Faridabad,Sifter International,Mr S C Sharma,"09825318474, 07940084051			", 121006,Haryana,"Plot Number 83, Sector 6, Industrial Area"
10,Delhi,welding flux manufacturer from China -- Yulin Welding Material,charlie,"+919910030832, +911294067129			", 451200,Delhi,"Wanghe Village, Gongyi, Henan, China"
11,Anand,Shree Kamdhenu Electronics Pvt Ltd,Mr. Amit Mehta,02692-235390			, 388120,Gujarat,"102, Shivam Complex, Nana Bazar,
VidyaNagar"
